voltage,current
0.000000000000000000e+00,-2.851897999999999906e-07
2.000000000000000042e-02,-3.119223999999999741e-07
4.000000000000000083e-02,-3.078967999999999834e-07
5.999999999999999778e-02,-3.045054999999999999e-07
8.000000000000000167e-02,-3.093207000000000177e-07
1.000000000000000056e-01,-3.128122999999999853e-07
1.199999999999999956e-01,-3.174409999999999902e-07
1.400000000000000133e-01,-3.052570999999999839e-07
1.600000000000000033e-01,-2.992469000000000139e-07
1.799999999999999933e-01,-2.979112000000000108e-07
2.000000000000000111e-01,-2.491725000000000165e-07
2.200000000000000011e-01,-2.888803000000000063e-07
2.399999999999999911e-01,-2.674808000000000005e-07
2.600000000000000089e-01,-2.904616999999999942e-07
2.800000000000000266e-01,-2.896071000000000258e-07
2.999999999999999889e-01,-2.741466000000000045e-07
3.200000000000000067e-01,-2.751119999999999822e-07
3.400000000000000244e-01,-2.545713999999999789e-07
3.599999999999999867e-01,-2.516617999999999831e-07
3.800000000000000044e-01,-2.454955999999999950e-07
4.000000000000000222e-01,-2.331045000000000079e-07
4.199999999999999845e-01,-2.781782000000000021e-07
4.400000000000000022e-01,-2.508842000000000225e-07
4.600000000000000200e-01,-2.691592000000000191e-07
4.799999999999999822e-01,-2.504984999999999848e-07
5.000000000000000000e-01,-2.664949999999999786e-07
5.200000000000000178e-01,-2.569680999999999940e-07
5.400000000000000355e-01,-2.606132000000000165e-07
5.600000000000000533e-01,-2.607295000000000187e-07
5.799999999999999600e-01,-2.601710000000000074e-07
5.999999999999999778e-01,-2.250841999999999900e-07
6.199999999999999956e-01,-1.414081000000000101e-07
6.400000000000000133e-01,-1.687939999999999959e-07
6.600000000000000311e-01,-2.049958000000000071e-07
6.800000000000000488e-01,-2.024725000000000020e-07
6.999999999999999556e-01,-2.429640999999999965e-07
7.199999999999999734e-01,-2.026899000000000050e-07
7.399999999999999911e-01,-2.130964000000000129e-07
7.600000000000000089e-01,-2.137122000000000123e-07
7.800000000000000266e-01,-2.004243999999999904e-07
8.000000000000000444e-01,-1.681700000000000031e-07
8.199999999999999512e-01,-2.395111000000000250e-07
8.399999999999999689e-01,-1.725925000000000018e-07
8.599999999999999867e-01,-1.531722000000000009e-07
8.800000000000000044e-01,-1.415265000000000067e-07
9.000000000000000222e-01,-1.862749000000000000e-07
9.200000000000000400e-01,-1.766439000000000112e-07
9.399999999999999467e-01,-1.660551000000000057e-07
9.599999999999999645e-01,-1.653037999999999982e-07
9.799999999999999822e-01,-1.721553999999999906e-07
1.000000000000000000e+00,-1.804443999999999928e-07
1.020000000000000018e+00,-1.929884999999999946e-07
1.040000000000000036e+00,-2.297395999999999961e-07
1.060000000000000053e+00,-1.773136000000000003e-07
1.080000000000000071e+00,-2.529087999999999942e-07
1.100000000000000089e+00,-1.923077000000000009e-07
1.120000000000000107e+00,-1.352790999999999954e-07
1.139999999999999902e+00,-1.670608000000000053e-07
1.159999999999999920e+00,-1.327712000000000024e-07
1.179999999999999938e+00,-1.509075000000000032e-07
1.199999999999999956e+00,-1.897211000000000007e-07
1.219999999999999973e+00,-2.058425000000000117e-07
1.239999999999999991e+00,-1.993190000000000128e-07
1.260000000000000009e+00,-1.540856999999999912e-07
1.280000000000000027e+00,-1.718924000000000100e-07
1.300000000000000044e+00,-1.757316999999999986e-07
1.320000000000000062e+00,-1.908976999999999902e-07
1.340000000000000080e+00,-1.601778000000000091e-07
1.360000000000000098e+00,-1.428234999999999951e-07
1.379999999999999893e+00,-1.469996000000000109e-07
1.399999999999999911e+00,-1.291401999999999880e-07
1.419999999999999929e+00,-1.342006999999999955e-07
1.439999999999999947e+00,-1.132523000000000036e-07
1.459999999999999964e+00,-1.395139999999999879e-07
1.479999999999999982e+00,-1.359882999999999896e-07
1.500000000000000000e+00,-1.396308000000000038e-07
1.520000000000000018e+00,-1.590058000000000036e-07
1.540000000000000036e+00,-1.310401999999999984e-07
1.560000000000000053e+00,-1.275169999999999897e-07
1.580000000000000071e+00,-1.370091999999999905e-07
1.600000000000000089e+00,-1.370575999999999871e-07
1.620000000000000107e+00,-1.252529999999999901e-07
1.639999999999999902e+00,-1.339690000000000001e-07
1.659999999999999920e+00,-1.417380999999999872e-07
1.679999999999999938e+00,-1.254649999999999922e-07
1.699999999999999956e+00,-1.384904000000000130e-07
1.719999999999999973e+00,-1.190114000000000012e-07
1.739999999999999991e+00,-1.268784999999999936e-07
1.760000000000000009e+00,-1.339152000000000026e-07
1.780000000000000027e+00,-1.215318999999999873e-07
1.800000000000000044e+00,-1.475837000000000035e-07
1.820000000000000062e+00,-1.159556000000000011e-07
1.840000000000000080e+00,-1.347707999999999987e-07
1.860000000000000098e+00,-1.283869000000000046e-07
1.879999999999999893e+00,-1.080138000000000060e-07
1.899999999999999911e+00,-1.010125999999999975e-07
1.919999999999999929e+00,-1.134998000000000063e-07
1.939999999999999947e+00,-1.116751000000000045e-07
1.959999999999999964e+00,-1.087456000000000046e-07
1.979999999999999982e+00,-1.286966000000000091e-07
2.000000000000000000e+00,-1.132631000000000052e-07
2.020000000000000018e+00,-1.320380999999999996e-07
2.040000000000000036e+00,-9.295886999999999706e-08
2.060000000000000053e+00,-9.748481999999999796e-08
2.080000000000000071e+00,-1.180138999999999951e-07
2.100000000000000089e+00,-1.071779000000000031e-07
2.120000000000000107e+00,-1.021366000000000015e-07
2.140000000000000124e+00,-1.056918999999999989e-07
2.160000000000000142e+00,-9.176524999999999514e-08
2.180000000000000160e+00,-9.978708000000000444e-08
2.200000000000000178e+00,-1.122043999999999985e-07
2.220000000000000195e+00,-1.015964000000000004e-07
2.240000000000000213e+00,-9.701989000000000255e-08
2.259999999999999787e+00,-9.624789999999999723e-08
2.279999999999999805e+00,-1.020884000000000024e-07
2.299999999999999822e+00,-1.045568000000000036e-07
2.319999999999999840e+00,-9.751156999999999521e-08
2.339999999999999858e+00,-1.060352999999999992e-07
2.359999999999999876e+00,-8.951666000000000425e-08
2.379999999999999893e+00,-9.439517999999999704e-08
2.399999999999999911e+00,-9.458946999999999844e-08
2.419999999999999929e+00,-1.288421999999999942e-07
2.439999999999999947e+00,-1.028164999999999996e-07
2.459999999999999964e+00,-1.157119999999999975e-07
2.479999999999999982e+00,-1.189556000000000014e-07
2.509999999999999787e+00,-9.795740000000000338e-08
2.529999999999999805e+00,-1.238747000000000127e-07
2.549999999999999822e+00,-1.049687000000000021e-07
2.569999999999999840e+00,-9.625395999999999669e-08
2.589999999999999858e+00,-1.036835000000000033e-07
2.609999999999999876e+00,-1.056207000000000003e-07
2.629999999999999893e+00,-1.159835000000000009e-07
2.649999999999999911e+00,-1.352644000000000078e-07
2.669999999999999929e+00,-1.080840000000000035e-07
2.689999999999999947e+00,-9.736695000000000486e-08
2.709999999999999964e+00,-1.080360000000000021e-07
2.729999999999999982e+00,-1.002151000000000064e-07
2.750000000000000000e+00,-1.163005000000000030e-07
2.770000000000000018e+00,-1.005212000000000015e-07
2.790000000000000036e+00,-1.284359999999999994e-07
2.810000000000000053e+00,-1.374250999999999936e-07
2.830000000000000071e+00,-1.471389000000000127e-07
