voltage,current
4.389999999999999680e+00,-3.204084000000000145e-07
4.410000000000000142e+00,-3.092120999999999952e-07
4.429999999999999716e+00,-3.138877999999999740e-07
4.450000000000000178e+00,-3.210431999999999826e-07
4.469999999999999751e+00,-3.285670000000000066e-07
4.490000000000000213e+00,-3.270998000000000264e-07
4.509999999999999787e+00,-3.242154000000000168e-07
4.530000000000000249e+00,-3.218387000000000243e-07
4.549999999999999822e+00,-3.283368000000000261e-07
4.570000000000000284e+00,-3.099778999999999794e-07
4.589999999999999858e+00,-3.245414000000000158e-07
4.610000000000000320e+00,-3.222618999999999854e-07
4.629999999999999893e+00,-3.204071000000000104e-07
4.650000000000000355e+00,-3.272541000000000187e-07
4.669999999999999929e+00,-3.302887000000000239e-07
4.690000000000000391e+00,-3.074629000000000128e-07
4.709999999999999964e+00,-3.259742999999999810e-07
4.730000000000000426e+00,-3.211540999999999839e-07
4.750000000000000000e+00,-3.314295999999999756e-07
4.769999999999999574e+00,-3.309127999999999825e-07
4.790000000000000036e+00,-3.216835999999999888e-07
4.809999999999999609e+00,-3.273502000000000138e-07
4.830000000000000071e+00,-3.303822000000000108e-07
4.849999999999999645e+00,-3.132184000000000143e-07
4.870000000000000107e+00,-3.281741000000000031e-07
4.889999999999999680e+00,-3.089075000000000151e-07
4.910000000000000142e+00,-2.729103000000000029e-07
4.929999999999999716e+00,-3.053560000000000246e-07
4.950000000000000178e+00,-2.868737999999999943e-07
4.969999999999999751e+00,-3.044719999999999751e-07
5.000000000000000000e+00,-2.965503000000000214e-07
